Proposition,Nom d&apos;auteur,Âge,Département,Nb de votes,% pour,% contre,% neutre,theme,cluster_id
"Il faut remettre et entretenir les fossés qui assurent une meilleure gestion de l&apos;eau, et les haies qui participent à la biodiversité",serge,71.0,,290,0.946,0.017,0.037,Environmental Protection,8
"Il faut favoriser les espaces verts dans les villes : squares, carrés potagers partagés, cours d&apos;écoles sans bitume, etc.",Cathy,54.0,71.0,297,0.939,0.018,0.043,Urban Planning and Green Spaces,16
Il faut permettre la conservation des semences locales,Corentin,23.0,,303,0.942,0.018,0.041,Sustainable Agriculture,14
Il faut revégétaliser les espaces publics dans les villes,Nanette,47.0,,314,0.939,0.009,0.052,Urban Planning and Green Spaces,16
"Il faut remettre des haies entre les champs, les routes etc... Cela limite considérablement l&apos;érosion du sol, les dégâts du vent etc.",marie-Christine,66.0,22.0,296,0.94,0.031,0.028,Environmental Protection,8
Il faut favoriser l&apos;installation de jeunes agriculteurs sur de petites exploitations en polyculture et non liées à l&apos;agro industrie,Fabienne,66.0,33.0,302,0.924,0.024,0.052,Sustainable Agriculture,14
Il faut replanter des haies qui offrent le gîte et le couvert aux oiseaux,valou,59.0,,338,0.932,0.026,0.041,Environmental Protection,8
Il faut interdire l&apos;importation de produits qui ne respectent pas nos normes de production,Benjamin,,,309,0.919,0.014,0.067,Sustainable Agriculture,14
Il faut planter beaucoup plus d’arbres dans les villes.,Marie,18.0,95.0,318,0.965,0.004,0.031,Urban Planning and Green Spaces,16
Il faut interdire à l&apos;importation les produits qui ne respectent pas nos normes environnementales.,Benjamin,,,304,0.937,0.027,0.035,Environmental Protection,8
"Il faut arrêter avec ces règles de taille, de calibrage pour fruits et légumes et prendre ce que la nature donne dont les produits ""moches""",Jan,71.0,,304,0.945,0.021,0.034,Sustainable Agriculture,14
Il faut diminuer l&apos;utilisation du plastique dans l&apos;agroalimentaire. Revenir au système de consignes avec le verre.,Prune,29.0,974.0,308,0.915,0.035,0.05,Environmental Protection,8
Il faut replanter des haies vives dans les campagnes,Lacharme,55.0,,320,0.907,0.02,0.073,Biomass and Forest Management,2
Il faut interdire les pesticides néonicotinoïdes nocifs pour les abeilles partout en Europe,Sofia,22.0,,380,0.906,0.034,0.06,Pesticide Reduction,11
Il faut protéger et restaurer les zones humides,Gaëlle,50.0,,313,0.929,0.035,0.036,Water Conservation,19
"Il faut interdire l&apos;importation de produit qui ne respecte pas les normes européennes (pesticide,norme de cultures biologique - exces d&apos;eau)",Amélie,41.0,,308,0.928,0.043,0.029,Environmental Protection,8
Il faut encourager la reforestation avec des espèces locales diversifiées (préserve aussi des incendies),Mila,36.0,,368,0.92,0.028,0.052,Environmental Protection,8
Il faut remettre en place les haies sauvages délimitant les parcelles des campagnes offrant protection nourriture aux oiseaux et insectes,Sylvie,57.0,38.0,294,0.93,0.038,0.032,Conservation of Biodiversity,5
Il faut développer le traitement des déchets recyclables collectés en local et non à l&apos;autre bout de la planète.,Céline,42.0,,295,0.937,0.011,0.052,Waste Reduction and Recycling,18
Il faut améliorer la réglementation sur la préservation des espèces marines menacées et les aires marines protégées (AMP),AXA,,,312,0.937,0.024,0.039,Conservation of Biodiversity,5
Il faut interdire les supertrawlers/les méthodes de pêche destructrices et non séléctives,Damien,32.0,,297,0.934,0.028,0.038,Conservation of Biodiversity,5
"Il faut que toutes les entreprises qui reçoivent des aides de l&apos;Etat et des collectivités, soient contraintes de respecter l&apos;environnement.",Ronan,43.0,,294,0.92,0.028,0.052,Environmental Protection,8
"Il faut préserver les zones humides, cruciales pour le développement de nombreuses espèces",AXA,,,326,0.961,0.015,0.024,Conservation of Biodiversity,5
"Il faut inciter à replanter des haies bocagères pour favoriser la biodiversité, éviter les glissements de terrain et la pénétration de l&apos;eau",Yannie,67.0,34.0,245,0.948,0.038,0.014,Conservation of Biodiversity,5
Il faut restaurer les haies bocagères en replantant massivement avec des essences variées pour permettre à la biodiversité de se développer,eric,67.0,,300,0.914,0.05,0.036,Conservation of Biodiversity,5
"Il faut limiter l’artificialisation des sols, première cause de perte de biodiversité dans le monde",AXA,,,278,0.935,0.025,0.041,Conservation of Biodiversity,5
Il faut verdir les cours des écoles pour favoriser une meilleure gestion des périodes de chaleur,Laurette,61.0,,298,0.909,0.025,0.066,Environmental Protection,8
Il faut encourager les agriculteurs à replanter des haies dans la mesure du possible,Véronique,48.0,14.0,316,0.93,0.026,0.044,Biomass and Forest Management,2
Il faut planter plus d&apos;arbres dans les cours d&apos;écoles et sur les parkings et plus végétaliser nos communes.,Dominique,47.0,65.0,300,0.951,0.014,0.034,Biomass and Forest Management,2
"Il faut plus de haies naturelles délimitant les parcelles agricoles afin de favoriser la biodiversité (abeilles, hérisson, etc.)",Kekelpb,,,292,0.936,0.032,0.032,Conservation of Biodiversity,5
Il faut contraindre les entreprises à supprimer les suremballages de marchandises pour réduire les déchets de plastique.,Celine,,,292,0.957,0.015,0.028,Waste Reduction and Recycling,18
"Il faut éviter d&apos;imperméabiliser les sols lors des réfections de voiries, places, etc. dans les villes et villages",Joelle,70.0,4.0,295,0.913,0.018,0.069,Urban Planning and Green Spaces,16
"Il faut aider financièrement  agriculteurs/particuliers à replanter des haies pour augmenter la biodiversité, mieux protéger des intempéries",Océane,30.0,44.0,259,0.905,0.028,0.067,Sustainable Agriculture,14
Il faut limiter la suppression des haies et en replanter pour favoriser la biodiversité,AXA,,,279,0.965,0.012,0.023,Biomass and Forest Management,2
"Il faut utiliser les surfaces déjà urbanisées pour y installer du photovoltaique, afin de ne pas utiliser des zones naturelles",Anne,29.0,,305,0.913,0.031,0.057,Urban Planning and Green Spaces,16
Il faut protéger massivement et sérieusement les forêts primaires.,Dominique,47.0,65.0,300,0.928,0.018,0.054,Biomass and Forest Management,2
Il faut restaurer les zones humides et forestières pour leur rôle crucial dans la biodiversité.,Freja,44.0,,359,0.942,0.013,0.044,Biomass and Forest Management,2
"Il faut apprendre aux enfants le rôle des vers de terre, des fourmis, etc.",Jean,40.0,75.0,306,0.933,0.027,0.04,Insect Protection,10
"Il faut pénaliser sévèrement les personnes qui déversent leurs déchets dans la nature, où jetent des ordures le long des routes.",APLUS,,,293,0.954,0.008,0.039,Waste Reduction and Recycling,18
Il faut revenir aux contenants en verre et à la consigne. Faire des circuits courts des produits quand c&apos;est possible (lait).,Blandine,47.0,,314,0.912,0.02,0.068,Environmental Protection,8
Il faut réduire notre utilisation du plastique au stricte minimum en obligeant les fabricants à les bannir de leurs emballages.,Armand,48.0,95.0,302,0.902,0.034,0.064,Waste Reduction and Recycling,18
"Il faut sensibiliser les plus jeunes à la préservation des écosystèmes marins : journées de ramassages d&apos;ordure, biodiversité marine, etc.",Juliette,28.0,94.0,294,0.904,0.006,0.09,Water Conservation,19
Il faut re-végétaliser les villes et les écoles.,Mamma Gwenn,48.0,22.0,302,0.958,0.027,0.014,Urban Planning and Green Spaces,16
Il faut réglementer l&apos;éclairage nocturne pour stopper la disparition des oiseaux nocturnes.,François,75.0,82.0,632,0.958,0.019,0.023,Conservation of Biodiversity,5
Il faut planter des arbres dans les villes pour rafraichir l&apos;atmosphère et dans les zones arides pour éviter l&apos;évaporation.,Patrick,71.0,974.0,298,0.949,0.014,0.036,Biomass and Forest Management,2
Il faut aider les pêcheurs au chalut à faire une transition vers une pêche plus durable,David,48.0,,292,0.906,0.052,0.042,Biomass and Forest Management,2
"Il faut mieux penser les habitations pour optimiser les consommations d’eau (recyclage, collecte d’eau de pluie par ex)",Sylvie,57.0,,286,0.93,0.022,0.048,Environmental Protection,8
"Il faut préserver les dernières zones humides qui restent, et les restaurer quand c&apos;est possible",Manon,39.0,15.0,317,0.906,0.026,0.068,Conservation of Biodiversity,5
Il faut intégrer systématiquement des stages découverte de la nature dans le cursus scolaire,Gérard,67.0,,294,0.906,0.035,0.059,Citizen Engagement and Education,3
Il faut sanctionner ceux qui déversent leurs poubelles dans la nature : dédommagement par amende ou TIG selon les dégâts,Bernadette,66.0,95.0,302,0.925,0.018,0.057,Waste Reduction and Recycling,18
Il faut faire en sorte que les rejets dans les cours d&apos;eau soient controlés trés souvent.,Aurélien,45.0,,294,0.928,0.018,0.054,Water Conservation,19
"Il faut replanter massivement des haies entre les champs, prairies, le long des routes et autour des villes et villages",Xavier,60.0,75.0,298,0.919,0.046,0.035,Biomass and Forest Management,2
Il faut taxer les importations de produits alimentaires qui ne respectent pas nos exigences de production environnementales,Baptiste,33.0,45.0,300,0.9,0.041,0.059,Sustainable Agriculture,14
"Il faut mettre plus de fleurs, buissons et arbres en ville, remettre des haies autour des parcelles cultivables ainsi que des arbres.",Romuald,46.0,52.0,312,0.92,0.033,0.047,Urban Planning and Green Spaces,16
Il faut développer la végétalisation en milieu urbain pour attirer les insectes pollinisateurs,AXA,,,318,0.948,0.017,0.036,Insect Protection,10
Il faut à tout prix définir de nouvelles aires marines protégées pour la reproduction et la préservation des espèces,emmanuel,50.0,,306,0.895,0.027,0.078,Biomass and Forest Management,2
Il faut mettre les panneaux photovoltaïques sur les toits et les parkings et non pas à la place des espaces naturels et forestiers.,Dominique,,,306,0.903,0.044,0.053,Environmental Protection,8
Il faut encourager la création de jardins dans les écoles,Christine,71.0,1.0,294,0.933,0.021,0.045,Environmental Protection,8
Il faut planter des arbres dans les villes,Christine,71.0,1.0,296,0.962,0.01,0.028,Urban Planning and Green Spaces,16
Il faut diminuer le recours aux emballages jetables au sein des entreprises et remettre en place consigne et vrac.,Morgane,32.0,63.0,296,0.934,0.021,0.045,Waste Reduction and Recycling,18
Il faut aider à la reprise d&apos;exploitations agricoles par des petits agriculteurs plutôt que par l&apos;industrie en soutenant leurs activités,Hélène,,,300,0.913,0.033,0.054,Sustainable Agriculture,14
Il faut privilégier l&apos;aménagement végétal et/ou naturel des berges des rivières plutôt que l&apos;imperméabilisation.,Marie-Claire,56.0,972.0,304,0.919,0.021,0.06,Urban Planning and Green Spaces,16
"Il faut améliorer la qualité de l&apos;eau des cours de France, avec un contrôle plus strict des sources de pollution et des espèces envahissante",Diana,31.0,92.0,299,0.928,0.033,0.039,Water Conservation,19
Il faut éduquer les enfants et les sensibiliser au respect de la faune sauvage et de la flore,Sandrine,58.0,78.0,296,0.957,0.015,0.028,Citizen Engagement and Education,3
Il faut (re)planter massivement des haies dans le paysage agricole,Fabiola,34.0,92.0,306,0.882,0.044,0.075,Biomass and Forest Management,2
Il faut favoriser la récupération des eaux de pluie et eaux usées pour une utilisation spécifique de ces eaux de moindre qualité,Danielle,68.0,,284,0.927,0.026,0.047,Water Conservation,19
"Il faut augmenter la régulation des déversements des polluants (agricoles, industriels,..) dans les cours d’eau ",Jean-louis,51.0,,284,0.906,0.04,0.054,Environmental Protection,8
Il faut que les panneaux solaires soient installés sur les toits des zones industrielles plutôt que sur des champs.,Maxime,36.0,14.0,301,0.902,0.051,0.048,Environmental Protection,8
"Il faut restaurer les haies bocagères : corridors écologiques, meilleure absorption des pluies diluviennes, ombre pour les vaches, etc.",Ophélie,30.0,,304,0.916,0.05,0.034,Environmental Protection,8
Il faut préserver les zones humides.,jean claude,,,300,0.901,0.038,0.061,Conservation of Biodiversity,5
"Il faut replanter arbres, arbustes et buissons pour réduire le lessivage des sols en ville et diminuer la température",Christine,60.0,76.0,308,0.939,0.024,0.037,Biomass and Forest Management,2
"Il faut davantage punir les engins de pêches industriels ne respectant pas nos lois, et interdire la pêche industrielle (senne demersale)",Etienne,27.0,,302,0.892,0.057,0.051,Conservation of Biodiversity,5
"Il faut que la conservation de la biodiversité soit intégrée aux programmes scolaires dès l&apos;école primaire, avec des chantiers nature",Laure,53.0,73.0,250,0.894,0.045,0.061,Conservation of Biodiversity,5
"Il faut planter des arbres, fruitiers ou non, tant pour leurs productions que pour l&apos;abri qu&apos;ils constituent pour la faune sauvage.",Florence,58.0,,306,0.926,0.024,0.05,Biomass and Forest Management,2
"Il faut accentuer l’éveil à la nature dans les petites classes, notamment via l’apprentissage des espèces, de la faune et de la flore",Laurence,56.0,,294,0.927,0.035,0.038,Citizen Engagement and Education,3
Il faut arrêter la transformation des zones humides naturelles en terres agricoles.,Lucas,13.0,77.0,295,0.9,0.045,0.055,Conservation of Biodiversity,5
Il faut planter des haies avec des essences locales,Christophe,61.0,72.0,294,0.935,0.016,0.049,Waste Reduction and Recycling,18
Il faut sanctuariser les zones humides; et bien entendu arrêter de les detruires,Isabelle,59.0,69.0,295,0.9,0.048,0.052,Environmental Protection,8
Il faut stopper l&apos;importation de fruits et légumes en provenance de pays qui ne respectent pas les règles en place pour la culture en France,Xavier,50.0,56.0,303,0.879,0.037,0.083,Biomass and Forest Management,2
Il faut un contrôle sanitaire régulier sur les usines qui évacuent leurs eaux résiduaires très toxiques dans les rivières qu&apos;elles bordent,Tatiana,62.0,,288,0.92,0.022,0.058,Water Conservation,19
"Il faut recréer les zones humides disparues depuis 1950 pour la biodiversité (insectes, poissons, amphibiens) et contre les inondations.",Phil,,,250,0.922,0.033,0.045,Environmental Protection,8
"Il faut revenir à la consigne (pour éviter les emballages plastiques polluants et néfastes pour la santé, et limiter le recyclage du verre).",Valérie,50.0,,299,0.923,0.021,0.056,Environmental Protection,8
"Il faut supprimer progressivement les plastiques à usage unique, il reste encore beaucoup à faire dans le monde.",Fondation de la Mer,,,322,0.945,0.026,0.029,Waste Reduction and Recycling,18
Il faut réduire la pollution plastique et chimique dans les zones marines,AXA,,,310,0.964,0.012,0.024,Conservation of Biodiversity,5
Il faut faire les parking avec des surfaces perméables comme des pavages espacés pour permettre à l&apos;eau de s&apos;infiltrer.,Laurent,56.0,28.0,290,0.922,0.008,0.07,Waste Reduction and Recycling,18
Il faut traquer et sanctionner sévèrement les navires qui ont des fuites de carburant ou qui font du dégazage sauvage peu importe le lieu,Blandine,47.0,,308,0.941,0.021,0.038,Environmental Protection,8
"Il faut contrôler les abords des cours d&apos;eau et sanctionner tous les rejets illégaux (sanitaires non raccordés aux réseaux, usines ...)",Nicolas,39.0,,286,0.932,0.032,0.036,Water Conservation,19
"Il faut renforcer les moyens de l’OFB pour pouvoir mener à terme les enquêtes pour braconnage des espèces protégées, sans entraves.",Le Pôle Grands Prédateurs,,,939,0.851,0.072,0.077,Conservation of Biodiversity,5
Il faut privilégier et soutenir les petits producteurs/eleveurs.,BP,60.0,,297,0.921,0.021,0.058,Sustainable Agriculture,14
Il faut interdire et punir toutes les destructions de haies. Il faut subventionner l&apos;agriculteur selon ses pratiques et non à l&apos;hectare.,Dominique,62.0,25.0,292,0.885,0.052,0.062,Environmental Protection,8
"Il faut intégrer dans les travaux d&apos;intérêt général, le nettoyage des cours d&apos;eau et autres lieux similaire (lacs...)",Blandine,47.0,,302,0.918,0.014,0.067,Water Conservation,19
"Il faut restaurer le maillage de haie par de la plantation, la régénération naturelle et la gestion durable de l&apos;existant !",Remy,53.0,32.0,294,0.913,0.045,0.042,Biomass and Forest Management,2
Il faut remettre des haies pour les oiseaux et la faune sauvage.,christine,62.0,,304,0.921,0.041,0.039,Biomass and Forest Management,2
"Il faut imposer aux villes un taux minimal d&apos;espaces verts (parcs, etc.) et d&apos;ombrage naturel (arbres dans les rues et sur les parkings, ..)",Michael,30.0,44.0,302,0.875,0.051,0.074,Urban Planning and Green Spaces,16
Il faut commencer par restaurer les haies bocagères et les petites parcelles dans les grands territoires céréaliers,pierre,71.0,89.0,302,0.917,0.046,0.037,Biomass and Forest Management,2
Il faut encourager les rénovation de maisons anciennes au lieu de construire sur des terrain pour préserver les terres agricoles ou rurales,Nicole,81.0,16.0,300,0.918,0.034,0.048,Sustainable Agriculture,14
Il faut arrêter le chalutage de fond qui détruit les fonds marins,Geraldine,47.0,75.0,310,0.874,0.043,0.083,Conservation of Biodiversity,5
Il faut planter des haies champêtres d&apos;espèces locales autour des champs et le long des chemins,Sandra,,,297,0.904,0.068,0.028,Biomass and Forest Management,2
Il faut planter des arbres en ville et désimperméabiliser partout où c&apos;est possible,Armelle,51.0,57.0,296,0.91,0.025,0.065,Urban Planning and Green Spaces,16
"Il faut définir des ""sanctuaires des profondeurs"", des zones protégées, reliées entre elles par des corridors biologiques sous-marins.",Fondation de la Mer,,,322,0.889,0.029,0.082,Biodiversity and Ecological Corridors,1
Il faut favoriser le circuit court alimentaire entre paysans et consommateurs,Pierre,,,308,0.948,0.012,0.04,Sustainable Agriculture,14
Il faut absolument stopper le massacre des baleines et des requins.,Dominique,47.0,65.0,309,0.93,0.014,0.056,Animal Welfare,0
Il faut multiplier les aires marines protégées qui permettent aux espèces marines de se reproduire et se développer en toute sécurité,Estelle,56.0,75.0,296,0.893,0.021,0.085,Conservation of Biodiversity,5
Il faut revégétaliser les villes ce qui permettra d&apos;avoir plus de biodiversité et des températures plus basses en été !,christophe,45.0,,284,0.924,0.013,0.063,Urban Planning and Green Spaces,16
Il faut réguler l&apos;éclairage public pour ne pas perturber les espèces nocturnes (trame noire),Aksel,19.0,95.0,634,0.923,0.025,0.052,Conservation of Biodiversity,5
"Il faut reconstituer des haies et du bocage, là où les remembrements ont créés de véritables déserts végétaux.",jean-luc,,,298,0.897,0.048,0.055,Biomass and Forest Management,2
Il faut favoriser (subventions ou PLU) les haies champêtres autour des nouvelles constructions plutôt que ces murs en maçonnerie.,Arnaud,62.0,,292,0.899,0.011,0.09,Biomass and Forest Management,2
Il faut protéger les zones de reproduction des espèces menacées.,Victor,55.0,,350,0.925,0.028,0.047,Conservation of Biodiversity,5
"Il faut sensibiliser au respect de la biodiversité et la nature aux enfants en leur apprenant, dès leur plus jeune âge, le respect du vivant",Patricia et j p,76.0,83.0,248,0.925,0.03,0.046,Conservation of Biodiversity,5
Il faut que les fruits et légumes dit « pas beaux » soient disponibles à la vente,Laura,,,295,0.934,0.018,0.048,Sustainable Agriculture,14
Il faut nettoyer les rivières et pénaliser sévèrement ceux qui les polluent,Catherine,73.0,33.0,298,0.928,0.011,0.061,Water Conservation,19
Il faut systématiser la captation des déchets plastiques en embouchure de fleuves pour lutter contre la pollution plastique en mer.,Emmanuel,53.0,,294,0.899,0.045,0.055,Waste Reduction and Recycling,18
Il faut installer plus de corridors écologiques pour permettre à la faune sauvage de traverser les autoroutes (exemple du Costa Rica),Myrtille,,,302,0.902,0.044,0.054,Biodiversity and Ecological Corridors,1
Il faut pénaliser sévèrement les pollueurs ! Individus comme entreprises (lutter contre les décharges sauvages et les dépôts dans l&apos;eau),Guillaume,31.0,75.0,287,0.928,0.029,0.043,Waste Reduction and Recycling,18
"Il faut préserver et renaturer les cours d&apos;eau, notamment les rus (enterrés ou non), ainsi que leurs berges.",Eli,31.0,95.0,288,0.904,0.032,0.063,Water Conservation,19
"Il faut désimperméabiliser les sols pour permettre de stocker les eaux , restaurer le cycle de l’eau et limiter les inondations",Frédérique,55.0,,283,0.892,0.036,0.072,Environmental Protection,8
Il faut réhabiliter les transports sur rail et sur l&apos;eau. En particulier réouvrir des voies ferrées,Bernard,72.0,10.0,286,0.888,0.036,0.076,Sustainable Transportation,15
"Il faut rendre le travail agricole attractif en assurant l&apos;accès à la terre, un revenu décent et des conditions de travail soutenables",Corentin,20.0,,297,0.887,0.018,0.095,Sustainable Agriculture,14
Il faut revenir au réparable. Racheter un électroménager coûte moins cher que le réparer. Cela doit changer,Antony,43.0,,302,0.918,0.008,0.074,Waste Reduction and Recycling,18
Il faut maintenir et/ou restaurer les haies et les bandes enherbées pour favoriser la biodiversité et corridors écologiques entre les champs,Zelia,25.0,,285,0.907,0.047,0.047,Conservation of Biodiversity,5
"Il faut qu’un enseignement soit obligatoire sur la question de la biodiversité (risques, enjeux...) tout au long du cursus de scolarité.",Le Pôle Grands Prédateurs,,,904,0.844,0.074,0.082,Conservation of Biodiversity,5
"Il faut légiférer sur les emballages et surremballages, développer le vrac.",Florence,50.0,95.0,296,0.88,0.028,0.092,Environmental Protection,8
Il faut redonner de l&apos;espace à nos rivieres en ville et en milieu rural.  Reapprendre leur fonctionnement et à vivre au rythme des saisons.,Soline,40.0,12.0,298,0.927,0.035,0.038,Environmental Protection,8
"Il faut sensibiliser et favoriser le contact avec la nature dès le plus jeune âge (sport, jardinage, sorties)",Elodie,30.0,,298,0.944,0.018,0.038,Citizen Engagement and Education,3
Il faut replanter des haies en associant agriculteurs et citoyens,Fondation pour la nature et l&apos;homme,,,341,0.899,0.043,0.059,Biomass and Forest Management,2
Il faut restaurer les maisons/appartements vides pour éviter au maximum de construire de nouveaux bâtiments sur des zones agricoles,Paskal,42.0,39.0,299,0.901,0.028,0.071,Urban Planning and Green Spaces,16
"Il faut encourager la plantation de haies par tous (entreprises, agricuteurs, individuels ..)",Dorothée,45.0,92.0,298,0.911,0.041,0.048,Conservation of Biodiversity,5
Il faut planter un réseau dense de haies dans les zones agricoles,Guillaume,26.0,,298,0.878,0.055,0.068,Biomass and Forest Management,2
Il faut faire de la prévention dans les écoles primaires concernant les déchets dans la nature et l&apos;impact sur le vivant (notamment marin),Blandine,47.0,,298,0.936,0.026,0.038,Waste Reduction and Recycling,18
"Il faut éduquer les enfants pour la culture de plantes, la connaissance des espèces avec lesquelles on vit, comment les préserver",Olivier,51.0,77.0,294,0.917,0.028,0.055,Conservation of Biodiversity,5
"Il faut sensibiliser des le plus jeune age, a l’école, sur le fait que jeter mégots et autres déchets par terre, pollue et provoque des feux",Alyssia,31.0,66.0,301,0.938,0.014,0.048,Waste Reduction and Recycling,18
"Il faut planter des arbres en zones urbaines pour créer des habitats pour la faune, améliorer la qualité de l&apos;air et réduire la chaleur.",Emilie,44.0,78.0,300,0.928,0.028,0.044,Environmental Protection,8
"Il faut impérativement restaurer des corridors verts, pour que la faune puisse librement circuler et ainsi éviter la consanguinité.",JM,63.0,,296,0.88,0.045,0.075,Biodiversity and Ecological Corridors,1
"Il faut ré-orienter la PAC européenne sur l&apos;aide au retour aux pratiques agro-écologiques, des haies agricoles, la biodiversité.",Xavier,58.0,29.0,244,0.883,0.067,0.05,Sustainable Agriculture,14
Il faut replanter des arbres au bord des routes et des haies naturelles entre les parcelles cultivées.,Christine,58.0,38.0,302,0.91,0.046,0.044,Biomass and Forest Management,2
"Il faut proposer des substituts aux produits en plastique, en s’assurant que leur bilan carbone, eau et matière ne soit pas négatif.",Fondation de la Mer,,,310,0.919,0.019,0.062,Environmental Protection,8
"Il faut un moratorium sur l&apos;exploitation des sols marins, dont on connaît mal l&apos;écosystème et leur rôle dans la régulation des cycles océan",Diana,31.0,92.0,326,0.88,0.024,0.096,Sustainable Transportation,15
Il faut autoriser les semences paysannes et variétés anciennes hors catalogue,Benjamin,,,300,0.881,0.041,0.078,Sustainable Agriculture,14
Il faut replanter des haies là où elles ont été supprimées afin de permettre aux espèces de retrouver des espaces pour nidifier,Tom,,,308,0.91,0.04,0.05,Conservation of Biodiversity,5
Il faut développer des méthodes de collecte des déchets plastiques en mer,Lola,23.0,,295,0.927,0.028,0.045,Waste Reduction and Recycling,18
"Il faut mettre beaucoup plus de moyens pour démanteler les réseaux de braconnage d’espèces protégées en France (chardonneret,tortue,civelle)",Eric,54.0,33.0,292,0.906,0.042,0.052,Animal Welfare,0
"Il faut lutter contre l&apos;évaporation de l&apos;eau en arrêtant l&apos;artficialisation des sols et remettre haies, tourbières, permaculture...",matthieu,43.0,,293,0.904,0.057,0.039,Environmental Protection,8
Il faut stopper la destruction des haies car il faut des décennies pour les refaire à l’identique,Jean-Philippe,43.0,42.0,308,0.888,0.063,0.05,Biomass and Forest Management,2
Il faut interdire la commercialisation d&apos;espèces exotiques envahissantes.,Stéph,,,298,0.896,0.041,0.063,Conservation of Biodiversity,5
Il faut replanter toutes les haies qui ont été arrachées depuis 50 ans pour protéger les terres et les maisons des inondations dévastatrices,Christine,75.0,91.0,298,0.866,0.066,0.068,Environmental Protection,8
Il faut interdire de couper des arbres pour installer des panneaux solaires et les installer sur les hangars des zones commerciales,Hélène,56.0,,296,0.883,0.038,0.079,Biomass and Forest Management,2
Il faut remettre en place la consigne des bouteilles en verre pour réduire au maximum l&apos;usage de bouteilles en plastique.,Pascal,,,302,0.882,0.051,0.067,Environmental Protection,8
Il faut punir sévèrement la pollution à tous les niveaux; particulier ou entreprise qui jette ses déchets n&apos;importe où. ,emmanuel,50.0,,301,0.931,0.021,0.047,Environmental Protection,8
Il faut être plus ferme avec les acteurs économiques qui dégradent la nature et imposer des sanctions pénales.,gabrielle,21.0,972.0,303,0.884,0.041,0.075,Climate Change Mitigation,4
"Il faut réduire drastiquement les emballages, habituer les consommateurs à une ""présentation"" différente des produits",Mélanie,44.0,31.0,301,0.902,0.038,0.061,Environmental Protection,8
Il faut réaliser des espaces végétalisées dans les villes afin de créer des îlots de fraîcheur et réduire la pollution aux particules fines,Sylvie,60.0,13.0,312,0.921,0.033,0.046,Urban Planning and Green Spaces,16
"Il faut sensibiliser dès le plus jeune âge au respect de la nature (ne pas jeter ses déchets, etc.).",Antoine,34.0,,301,0.951,0.011,0.038,Citizen Engagement and Education,3
Il faut avancer sur le réemploi et la consigne de nos denrées alimentaires afin de limiter les microplastiques dans les océans,Marine,24.0,,302,0.91,0.023,0.067,Waste Reduction and Recycling,18
Il faut interdire à la vente les espèces exotiques envahissantes et expliquer pourquoi aux consommateurs,Barnabidule,48.0,,293,0.923,0.018,0.059,Conservation of Biodiversity,5
Il faut accélérer la réduction des déchets,Céline,29.0,69.0,292,0.919,0.015,0.066,Waste Reduction and Recycling,18
