Proposition,Nom d&apos;auteur,Âge,Département,Nb de votes,% pour,% contre,% neutre,theme,cluster_id,judge_score,judge_suggestion
Il faut interdire les pesticides et les PFAS,Sophie,25.0,76.0,306,0.639,0.203,0.158,Pesticide Reduction,11,1.0,
"Il faut inscrire au programme scolaire l&apos;enseignement et la préservation du vivant au même titre que le français, les maths et l&apos;histoire",Anaïs,42.0,,293,0.795,0.108,0.096,Environmental Protection,8,1.0,
"Il faut arrêter de diminuer les temps en train : comme le bio, une famille doit payer la juste valeur, l&apos;aérien !",NIVET,42.0,,136,0.236,0.232,0.531,Environmental Protection,8,0.0,Transport et environnement
Il faut rendre obligatoire un ratio minimal de pleine terre/végétalisation pour tout nouveau projet d&apos;aménagement.,Asuna,27.0,,293,0.797,0.073,0.13,Urban Planning and Green Spaces,16,1.0,
"Il faut faire adapter les emballages aux contenus qu&apos;ils contiennent réellement, trop de gâchis et de tromperie vis à vis des consommateurs",Michelle,,,297,0.884,0.031,0.085,Waste Reduction and Recycling,18,1.0,
Il faut inciter les gens à récupérer et utiliser l&apos;eau de pluie pour les activités du quotidien.,Edwige,23.0,62.0,286,0.855,0.05,0.095,Water Conservation,19,1.0,
Il faut redonner l&apos;espace aux espèces telles que le loup (les bergers doivent faire leur travail au lieu de laisser les troupeaux seuls),Blandine,47.0,,320,0.572,0.295,0.133,Conservation of Biodiversity,5,1.0,
Il faut mettre plus d&apos;importance sur la biodiversité dans les projets de construction.,Lynda,54.0,93.0,248,0.905,0.046,0.05,Conservation of Biodiversity,5,1.0,
Il faut déjà éviter d&apos;utiliser de pesticides ou produits chimiques sur les plantations des balcons. Chacun s&apos;y tient et ça ira mieux,Sylvie,64.0,,294,0.773,0.082,0.145,Pesticide Reduction,11,1.0,
"Il faut que les aires dites ""protégées"" le soient réellement. ex: laisser vieillir les forets publiques dans les Parcs nationaux.",Yann,45.0,54.0,297,0.796,0.139,0.065,Habitat Preservation,9,1.0,
"Il faut inclure dans la formation des médecins l’homéopathie, ils devraient pour des petites pathologies prescrire des traitements naturels.",Amélie,41.0,,304,0.532,0.194,0.273,Environmental Protection,8,0.0,Santé publique
Il faut utiliser le travail physique mais en l&apos;améliorant pour qu&apos;il soit le moins fatiguant possible,Martine,78.0,33.0,299,0.553,0.131,0.316,Environmental Protection,8,0.0,Développement durable
Il faut adapter les éclairages urbains pour qu&apos;ils éclairent les trottoirs et pas les arbres.,Catherine,67.0,92.0,622,0.887,0.032,0.081,Urban Planning and Green Spaces,16,1.0,
"Il faut retirer les renards, fouines et belettes des espèces nuisibles et interdire la vénerie",Sylvain,47.0,,306,0.619,0.235,0.146,Animal Welfare,0,1.0,
"Il faut sensibiliser à l&apos;entretien raisonné des jardins (friches, tontes, tailles, espèce invasive, etc.)",Julia,,,298,0.789,0.093,0.118,Waste Reduction and Recycling,18,0.0,Gestion de l'environnement
Il faut développer la phyto-épuration.,Edwige,23.0,62.0,295,0.613,0.069,0.319,Environmental Protection,8,1.0,
Il faut interdire à l&apos;importation les produits qui ne respectent pas nos normes environnementales.,Benjamin,,,304,0.937,0.027,0.035,Environmental Protection,8,1.0,
"Il faut interdire l&apos;utilisation des contenants en plastique et revenir à l&apos;utilisation du verre, qui est entièrement recyclable",Alexandra,31.0,,296,0.783,0.075,0.142,Environmental Protection,8,1.0,
"Il faut sensibiliser chaque personne possédant un jardin à pratiquer une tonte respectueuse : période, hauteur de coupe, zone de friche, etc",Dodu,42.0,,296,0.834,0.085,0.08,Biomass and Forest Management,2,1.0,
Il faut limiter la fauche à 1m de largeur le long des axes routiers tout en sécurisant les panneaux et les endroits dangereux,eric,67.0,,300,0.706,0.148,0.146,Urban Planning and Green Spaces,16,1.0,
Il faut organiser avec les écoles et les associations des journées de nettoyage de notre environnement,Francois,68.0,,296,0.829,0.062,0.109,Waste Reduction and Recycling,18,1.0,
"Il faut que chaque propriétaire d&apos;animaux, ai l&apos;obligation de déclarer son animal en mairie, pour limiter les abandons anonymes",David,51.0,22.0,299,0.669,0.186,0.144,Animal Welfare,0,1.0,
Il faut qu&apos;architectes et maîtres verriers trouvent un moyen d&apos;éviter les collisions d&apos;oiseaux sur les vitres (grillage presque invisible?),Catherine,,,294,0.626,0.089,0.285,Environmental Protection,8,1.0,
Il faut développer des outils de formation simples et accessibles à tous pour comprendre les enjeux et reconnaître les vraies solutions,Valérie,57.0,,298,0.752,0.048,0.2,Citizen Engagement and Education,3,1.0,
Il faut remettre en fonction des voies de chemin de fer et les électrifier toutes pour réduire l&apos;usage des voitures et leurs pollutions,Gaëlle,,,294,0.693,0.133,0.174,Sustainable Transportation,15,1.0,
Il faut interdire la « formation piégeage » accessible aux jeunes dès 15 ans.,Juliette,58.0,,302,0.574,0.192,0.233,Animal Welfare,0,1.0,
"Il faut interdire l&apos;accès aux forêts, aux espaces verts lorsqu&apos;il y a un haut risque d&apos;incendie et faire comprendre les dégâts d&apos;un mégot !",Delphine,44.0,,298,0.787,0.092,0.122,Biomass and Forest Management,2,1.0,
Il faut arrêter de faire payer et d&apos;imposer de lourdes formalités à ceux qui veulent bien déposer leurs déchets dans les déchetteries.,Christian,85.0,13.0,297,0.783,0.048,0.169,Waste Reduction and Recycling,18,1.0,
Il faut rénover les logements vacants (environ 3 millions en France) pour sauver des terres agricoles,Aurélia,47.0,72.0,296,0.858,0.052,0.09,Urban Planning and Green Spaces,16,1.0,
"Il faut pour protéger la biodiversité mieux la connaître ( échantillonnage, étude des interactions entre les différentes espèces....).",Helene,47.0,65.0,263,0.821,0.035,0.143,Conservation of Biodiversity,5,1.0,
Il faut éduquer les jeunes et ne pas simplement être dans l&apos;interdiction : sorties naturalistes dans les écoles chaque semaine avec des pros,Elodie,35.0,,296,0.779,0.122,0.099,Citizen Engagement and Education,3,1.0,
Il faut interdire les coupes rases de forêts.,Rémy,80.0,,298,0.741,0.166,0.093,Biomass and Forest Management,2,1.0,
"Il faut expliquer : pesticides=empoisonnement durable de la terre=empoisonnement des hérissons,oiseaux par celui des vers de terre,insectes",Margaret,41.0,,296,0.758,0.139,0.102,Pesticide Reduction,11,1.0,
Il faut développer et améliorer les OGM pour limiter l&apos;utilisation des pesticides,Michel,65.0,2.0,312,0.345,0.478,0.177,Pesticide Reduction,11,1.0,
"Il faut limiter la reproduction humaine, principale cause de la destruction de la biodiversité.",Magdalena,,,315,0.402,0.385,0.214,Citizen Engagement and Education,3,0.0,Environnement et biodiversité
Il faut reconsidérer l&apos;humanité comme un maillon de la Nature et non comme une espèce à part.,A,66.0,17.0,297,0.733,0.125,0.142,Environmental Protection,8,1.0,
Il faut soutenir et encourager les jeunes paysans qui risquent de disparaitre dans les vingt ans qui suivent,Michel,65.0,2.0,296,0.836,0.038,0.126,Sustainable Agriculture,14,1.0,
"Il faut arrêter de changer le nom des ministères, réduire le nombre et donner des obligations de résultats aux ministres et  parlementaires",Yves,68.0,39.0,296,0.667,0.082,0.251,Renewable Energy and Sustainable Development,13,0.0,Gouvernance et administration
"Il faut continuer à entretenir les bords de route, ne pas oublier la sécurité",Jf,46.0,50.0,296,0.519,0.136,0.345,Urban Planning and Green Spaces,16,1.0,
"Il faut protéger (aucun abattage) les grands prédateurs (loup, ours, lynx) car ils sont indispensables au bon fonctionnement des écosystèmes",Ondine,68.0,,344,0.574,0.301,0.125,Animal Welfare,0,1.0,
Il faut acculturer la population pour qu&apos;elle accepte et reconnaisse les adventices comme partie de la biodiversité et non comme nuisance.,Eli,31.0,95.0,297,0.536,0.142,0.322,Conservation of Biodiversity,5,1.0,
"Il faut introduire un mode d’emploi à chaque achat pour sensibiliser sur “faire durer, être économe, faire les bons gestes”",Jeremy,37.0,,293,0.663,0.103,0.234,Environmental Protection,8,1.0,
"Il faut systématiser l&apos;utilisation de techniques de génie écologique pour l&apos;aménagement des villes, sortir du tout béton",Romy,,,294,0.862,0.042,0.096,Urban Planning and Green Spaces,16,1.0,
"Il faut autoriser la taille mécanique des haies, pour ne pas pousser les agriculteurs à les arracher",Benjamin,,,297,0.556,0.122,0.322,Biomass and Forest Management,2,1.0,
"Il faut apprendre à gérer son jardin autrement. Ex : interdire le thuya, le photynia et obliger à planer des haies avec des essences locales",Christophe,,,292,0.687,0.141,0.172,Biomass and Forest Management,2,1.0,
"Il faut imposer des réserves de biodiversité dans toutes les communes, où l&apos;homme ne ferait que surveiller, y compris dans les villes",Jean Philippe,60.0,69.0,308,0.596,0.259,0.145,Protected Areas and Nature Reserves,12,1.0,
Il faut créer un ministre du climat et de la biodiversité française,Ségolène,30.0,44.0,304,0.543,0.239,0.218,Conservation of Biodiversity,5,1.0,
Il faut déployer des moyens militaires pour protéger les réserves naturelles d&apos;Afrique (dans lesquelles le braconnage sévit).,Edwige,23.0,62.0,301,0.539,0.205,0.256,Protected Areas and Nature Reserves,12,1.0,
"Il faut fédérer toutes les associations qui oeuvrent sincèrement dans l&apos;intérêt de la biodiversité, de façon complètement désintéressée.",Chantal,66.0,,300,0.553,0.177,0.269,Conservation of Biodiversity,5,1.0,
"Il faut arrêter les pesticides, fongicides, engrais !",jean-françois,,,300,0.576,0.294,0.131,Pesticide Reduction,11,1.0,
"Il faut envoyer des sachets à graines permettant aux insectes de butiner, aux particuliers et aux écoles ",A,42.0,,300,0.547,0.177,0.276,Insect Protection,10,1.0,
"Il faut plus de déchèteries avec une partie dédiée aux particuliers qui veulent récupérer ce que d&apos;autres jettent (bois, vitres, meubles...)",alexe,50.0,,306,0.874,0.042,0.084,Waste Reduction and Recycling,18,1.0,
Il faut proposer un guide ou un site conseil pour améliorer la biodiversité dans son jardin par le choix des plantes à planter.,Jean,40.0,75.0,260,0.76,0.078,0.162,Conservation of Biodiversity,5,1.0,
"Il faut préserver, restaurer, maintenir en bon état écologique les zones humides (mares, marais, tourbières, etc.)",denis,51.0,62.0,295,0.954,0.028,0.018,Conservation of Biodiversity,5,1.0,
Il faut renforcer le traitement médiatique des enjeux écologiques pour une meilleure information des citoyens et citoyennes et des jeunes.,Teragir,,,342,0.689,0.126,0.184,Citizen Engagement and Education,3,1.0,
Il faut utiliser la laine de mouton comme isolant,PASCALE,69.0,76.0,298,0.535,0.122,0.343,Biomass and Forest Management,2,0.0,Bâtiment et construction
Il faut travailler avec les ruraux pour trouver des solutions et arrêter les idées préconçues. Du dialogue !,Benoit,59.0,3.0,292,0.824,0.045,0.131,Citizen Engagement and Education,3,1.0,
Il faut une meilleure éducation à la nature et à son rôle dès le plus jeune âge,Pascal,47.0,89.0,294,0.893,0.042,0.066,Citizen Engagement and Education,3,1.0,
Il faut que les lycéens de seconde fassent leur stage de 15 jours dans une ferme écologique!,Bernard,,,296,0.512,0.171,0.317,Sustainable Agriculture,14,1.0,
"Il faut l&apos;intégrer de manière pédagogiques sans un besoin approfondi obligatoire, parler de notions d&apos;écologie : pollution, surpêche, etc.",Marlène,20.0,85.0,293,0.683,0.062,0.255,Environmental Protection,8,1.0,
"Il faut mettre plus de spots de pubs pour sensibiliser sur les bons et mauvais gestes et sur la biodiversité française (plante, insecte,...)",Amélie,41.0,,300,0.632,0.176,0.192,Environmental Protection,8,1.0,
Il faut rendre obligatoire pour les mairies le feu vert de la LPO quand une demande de permis de construire prévoit d&apos;abattre des arbres.,Pierre,74.0,35.0,294,0.666,0.176,0.159,Biomass and Forest Management,2,1.0,
"Il faut soutenir financièrement les agriculteurs, les entrepreneurs préservant l&apos;environnement, l&apos;eau, la biodiversité par leurs actions",Gaëlle,,,270,0.83,0.055,0.116,Sustainable Agriculture,14,1.0,
"Il faut mobiliser des moyens de sensibilisation ludiques, sur la base de jeux, de gamification, etc.",Jean-noël,55.0,,294,0.559,0.091,0.35,Citizen Engagement and Education,3,1.0,
Il faut que toute piste cyclable soit accompagnée d&apos;une haie diversifiée la séparant de la route.,Jean-Jacques,64.0,94.0,303,0.623,0.169,0.208,Urban Planning and Green Spaces,16,1.0,
Il faut améliorer la réglementation sur la préservation des espèces marines menacées et les aires marines protégées (AMP),AXA,,,312,0.937,0.024,0.039,Conservation of Biodiversity,5,1.0,
"Il faut permettre à chacun de planter des arbres et d&apos;en prendre soin à l&apos;école, dans la rue ou au travail : droits et aides financières",Frédérique,50.0,14.0,292,0.702,0.109,0.189,Biomass and Forest Management,2,1.0,
Il faut au niveau national faire une pause de la chasse pendant 2 ans et lancer un grand observatoire de la nature,Frédéric,,,300,0.568,0.238,0.193,Conservation of Biodiversity,5,1.0,
"Il faut utiliser les moyens de diffusion (télé, radio, et aussi diffusion dans les gares/aéroports) pour donner des bioconseils simples.",Laurent,50.0,16.0,298,0.644,0.12,0.236,Citizen Engagement and Education,3,1.0,
Il faut interdire les lâchers d&apos;espèces dont la population est en cours de régulation,Charles,33.0,95.0,298,0.514,0.135,0.351,Conservation of Biodiversity,5,1.0,
Il faut former les employés municipaux à prendre réellement soins des arbres des communes de France : trop d&apos;arbres mutilés inutilement,Lucien,,,293,0.858,0.045,0.096,Biomass and Forest Management,2,1.0,
"Il faut de beaux  panneaux explicatifs sur les zones remarquables des chemins de randonnée très fréquentés : espèces présentes, importance.",Aurore,54.0,41.0,295,0.743,0.086,0.172,Citizen Engagement and Education,3,1.0,
Il faut refuser d&apos;acheter des vêtements en microfibre,Camille,38.0,,296,0.359,0.184,0.457,Waste Reduction and Recycling,18,1.0,
Il faut permettre aux citadins de s&apos;impliquer mieux dans la biodiversité de leur commune via des espaces potager mieux accessibles.,Sarah,27.0,,242,0.734,0.026,0.24,Conservation of Biodiversity,5,1.0,
Il faut donner des cours aux enfants du collège sur les bases de la diététique et de la nourriture saine et de saison,Clotilde,,,294,0.795,0.076,0.13,Environmental Protection,8,0.0,Éducation à la santé
Il faut arrêter de laver les voitures à l&apos;eau potable,Francois,68.0,,289,0.832,0.063,0.105,Sustainable Transportation,15,1.0,
Il faut interdire la chasse,Sandrine,58.0,78.0,306,0.415,0.343,0.242,Animal Welfare,0,1.0,
Il faut prendre en compte le biodiversité et les services écosystèmiques qui en découlent dans les chiffres économiques et la croissance,Laure,25.0,,246,0.772,0.054,0.174,Conservation of Biodiversity,5,1.0,
Il faut définir un seuil de bétonisation assez bas dans chaque commune et ne pas le dépasser.,isabelle,59.0,,296,0.749,0.105,0.146,Urban Planning and Green Spaces,16,1.0,
Il faut interdire la taille des haies et des arbres du 15 mars au 15 septembre,Cathy,60.0,46.0,300,0.588,0.235,0.177,Biomass and Forest Management,2,1.0,
Il faut planter des arbres. On devrait proposer des essences régionales aux habitants à coup réduit pour reboiser et aider la nature.,Laetitia,42.0,59.0,294,0.853,0.047,0.1,Environmental Protection,8,1.0,
Il faut légiférer pour protéger les vers de terre et les abeilles. Ainsi que pour la préservation et la restauration des sols (humus),Thomas,41.0,44.0,296,0.767,0.114,0.119,Environmental Protection,8,1.0,
"Il faut arrêter de ramasser les déchets, qui est l&apos;arbre qui cache la foret mais arrêter l&apos;utilisation des plastiques  !",Annie,66.0,34.0,296,0.472,0.208,0.32,Waste Reduction and Recycling,18,1.0,
"Il faut sanctionner ceux qui l&apos;abiment par une sanction (actions et/ou €). Ex: TIG de réparation (reforestation, ramassage déchets, etc.)",Blandine,30.0,,294,0.827,0.045,0.128,Waste Reduction and Recycling,18,1.0,
Il faut interdire le commerce de la fourrure.,Edwige,23.0,62.0,305,0.658,0.178,0.165,Animal Welfare,0,1.0,
Il faut mettre des bouées de mouillage pour les bateaux pour préserver les fonds marins.,Lau,,,296,0.699,0.055,0.247,Environmental Protection,8,1.0,
Il faut être plus répressif en cas d&apos;infraction à la biodiversité !,Carole,,,268,0.748,0.109,0.143,Conservation of Biodiversity,5,1.0,
Il faut éduquer les enfants à l&apos;école dès leur plus jeune âge au respect de la nature autour d&apos;eux,Sarah,,,322,0.956,0.015,0.029,Citizen Engagement and Education,3,1.0,
"Il faut obliger les propriétaires de biens à l&apos;abandon à vendre, pour projet d&apos;habitation et éviter les constructions neuves!",Laetitia,36.0,,302,0.584,0.234,0.183,Environmental Protection,8,1.0,
Il faut faire passer la sécurité des usagers avant la présence d&apos;une espèce protégée.,Benjamin,,,300,0.298,0.426,0.276,Environmental Protection,8,0.0,Gestion des infrastructures
Il faut préserver les insectes responsables de la pollinisation et de la croissance des plantes et ne surtout pas les manger.,Marie-Hélène,64.0,76.0,294,0.794,0.038,0.167,Insect Protection,10,1.0,
"Il faut arrêter de donner plus d&apos;argent aux agriculteurs qui ont de grands hectares, donner aux plus petits (bio, permaculture)",lou,38.0,56.0,299,0.723,0.176,0.101,Sustainable Agriculture,14,1.0,
"Il faut limiter la surface des cultures en serre. Apprendre a consommer les légumes locaux, de saison.",Fred,57.0,78.0,294,0.718,0.145,0.137,Sustainable Agriculture,14,1.0,
Il faut développer des élevages d&apos;abeilles et les disséminer là où il y a besoin de développer la biodiversité. En plus on aura du miel.,Remi,40.0,,274,0.722,0.101,0.177,Environmental Protection,8,1.0,
Il faut arrêter de juger les forêts des autres (Amazonie) et augmenter notre couverture forestière pour contribuer au poumon de la Terre,Christophe,,,296,0.667,0.136,0.197,Biomass and Forest Management,2,1.0,
Il faut encourager et aider financièrement les jeunes à s&apos;installer au mieux en agriculture raisonnée à défaut de biologique,Annie,79.0,38.0,294,0.836,0.045,0.118,Sustainable Agriculture,14,1.0,
Il faut interdire les fermes usines et favoriser l&apos;agriculture paysanne,jean sarasin,,,296,0.848,0.087,0.065,Sustainable Agriculture,14,1.0,
Il faut mieux réguler les espèces envahissantes pour préserver la faune et flore françaises,Marlène,20.0,85.0,294,0.766,0.071,0.164,Conservation of Biodiversity,5,1.0,
Il faut évoluer d&apos;un modèle ultra-libéral et compétitif écocide vers un modèle de sobriété collective heureuse respectueuse du vivant.,Sophie,48.0,74.0,302,0.611,0.186,0.204,Renewable Energy and Sustainable Development,13,1.0,
"Il faut communiquer pour changer les codes esthétiques, trouver beau des espaces préservant la biodiversité (herbes hautes, haies non tail)",Cecile,,,244,0.766,0.075,0.159,Sustainable Agriculture,14,1.0,
"Il faut mettre en place des composteurs communaux, où tous les habitants peuvent déposer leurs déchets verts et récupérer du compost",Emilie,53.0,21.0,294,0.812,0.055,0.133,Waste Reduction and Recycling,18,1.0,
Il faut donner les moyens techniques aux agriculteurs pour qu’ils puissent réaliser le semis direct sans labour qui préserve la vie du sol.,Eric,54.0,33.0,293,0.743,0.073,0.185,Environmental Protection,8,1.0,
Il faut abolir l&apos;utilisation des produits insecticides dans nos jardins,jean-christophe,57.0,,296,0.68,0.218,0.102,Pesticide Reduction,11,1.0,
Il faut arrêter toutes coupes rases des feuillus et interdire la monoculture intensive des résineux: biodiversité + présente dans feuilles,LANNELUC,63.0,33.0,246,0.777,0.102,0.121,Environmental Protection,8,1.0,
Il faut offrir une pince à déchet (Graptou) compacte légère portative télescopique aux enfants des écoles par les mairies et les fonds FEDER,warda,55.0,94.0,306,0.312,0.303,0.385,Waste Reduction and Recycling,18,1.0,
"Il faut laisser foisonner autant que possible la végétation dans nos jardins particuliers, limiter les zones non végétalisées",marie-laure,55.0,31.0,297,0.781,0.109,0.11,Biomass and Forest Management,2,1.0,
Il faut inciter les écoles dans des programmes obligatoires de classes vertes avec sensibilisation à la nature et à son entretien.,Bertrand,43.0,,296,0.86,0.052,0.089,Citizen Engagement and Education,3,1.0,
Il faut diversifier les espèces d&apos;arbres des forêts afin de favoriser la biodiversité et l&apos;adaptation au changement climatique,Elia,31.0,,284,0.84,0.078,0.082,Conservation of Biodiversity,5,1.0,
Il faut que chaque habitant désherbe manuellement devant son habitation et n&apos;attende pas que ce soit la commune qui le fasse,Isabelle,59.0,17.0,300,0.471,0.222,0.307,Waste Reduction and Recycling,18,0.0,Entretien urbain
Il faut informer les personnes sur l’intérêt à préserver la biodiversité : urgence animale et humaine,Antoine,50.0,,261,0.826,0.055,0.12,Conservation of Biodiversity,5,1.0,
Il faut lancer une campagne massive de stérilisation des chats errants pour lutter contre la prolifération de ces prédateurs.,malou,,,295,0.815,0.067,0.118,Animal Welfare,0,1.0,
Il faut favoriser la récupération des eaux de pluie et eaux usées pour une utilisation spécifique de ces eaux de moindre qualité,Danielle,68.0,,284,0.927,0.026,0.047,Water Conservation,19,1.0,
"Il faut des réserves naturelles pour la faune sauvage sans chasse, et le braconnage sanctionné sévèrement",christine,62.0,,306,0.7,0.229,0.071,Protected Areas and Nature Reserves,12,1.0,
Il faut rétablir un écosystème aquatique pour permettre une dépollution des eaux,Sophie,46.0,,284,0.815,0.036,0.149,Water Conservation,19,1.0,
Il faut réaliser des petits spots télé sur les espèces végétales et animales afin d&apos;enseigner au grand public leur intérêt.,Nadège et Didier,,,293,0.79,0.076,0.134,Conservation of Biodiversity,5,1.0,
Il faut inciter et convaincre que les citoyens sont la plus grande force des changement possibles,Yves,68.0,39.0,296,0.667,0.079,0.254,Citizen Engagement and Education,3,1.0,
Il faut interdire la chasse sur tout le territoire français au moins une semaine sur deux entre août et mars.,Johan,66.0,46.0,346,0.431,0.463,0.106,Animal Welfare,0,1.0,
"Il faut inciter davantage au covoiturage par le biais de contreparties financières (baisse péage, baisse impôts ou aides..)",Prune,29.0,974.0,296,0.738,0.084,0.178,Sustainable Transportation,15,1.0,
"Il faut renaturer les délaissés routiers. A l&apos;échelle nationale, cela représente des milliers d&apos;hectares.",Cyril,50.0,34.0,297,0.801,0.063,0.135,Habitat Preservation,9,1.0,
Il faut légiférer pour que les exploitants forestier privés fassent des abattages sélectifs.,Dominique,68.0,75.0,298,0.619,0.173,0.208,Biomass and Forest Management,2,1.0,
"Il faut créer un maximum de centres de tris à proximité, pour mieux gérer les déchets et éviter qu&apos;ils polluent les eaux et terrains",Marie,38.0,,285,0.846,0.036,0.118,Waste Reduction and Recycling,18,1.0,
Il faut une formation des maires sur la biodiversité. Trop de petites communes sont des retraités avec les connaissances décalés et fausses.,Amélie,41.0,,298,0.65,0.22,0.13,Conservation of Biodiversity,5,1.0,
Il faut aider les communes à cohabiter avec les pigeons de manière éthique et respectueuse de la biodiversité.,H,43.0,,301,0.443,0.289,0.268,Conservation of Biodiversity,5,1.0,
Il faut un gouvernement qui rompe absolument avec les pratiques mortifères et prédatrices du néo-libéralisme.,Marc,71.0,,293,0.598,0.118,0.283,Environmental Protection,8,1.0,
Il faut renforcer les équipes de l&apos;OFB mais avec du personnel indépendant pas avec des chasseurs,françoise,,,304,0.551,0.258,0.191,Conservation of Biodiversity,5,1.0,
Il faut interdire les coupes rasés de forêt sachant que ça n&apos;est pas plus productif,Cindy,47.0,34.0,296,0.738,0.121,0.141,Biomass and Forest Management,2,1.0,
Il faut arrêter tous les grands projets d&apos;exploitation d&apos;énergie fossile encouragés par certaines banques aux politiques climaticides,Corinne,68.0,34.0,292,0.735,0.103,0.161,Climate Change Mitigation,4,1.0,
"Il faut installer des bandes fleuries et des prairies permanentes en zones urbaines pour soutenir les insectes, oiseaux et petits animaux.",marion,43.0,,295,0.886,0.035,0.079,Environmental Protection,8,1.0,
Il faut rendre gratuits les transports en commun et les parking au niveau des gares en banlieue,Geraldine,47.0,75.0,292,0.691,0.158,0.151,Sustainable Transportation,15,1.0,
Il faut enseigner l&apos;aromathérapie,PALMAR,42.0,13.0,298,0.302,0.241,0.457,Climate Change Mitigation,4,0.0,Santé et bien-être
Il faut que les constructions en ville soient effectuées avec des matériaux naturels et respectueux de l&apos;environnement.,Valérie,52.0,64.0,293,0.738,0.079,0.183,Urban Planning and Green Spaces,16,1.0,
"Il faut apprendre en secondaire le concept du vivant, en opposition au modèle homme/nature dépassé, les apports de chaque espèce aux autres",Anne,59.0,51.0,292,0.66,0.12,0.219,Conservation of Biodiversity,5,1.0,
Il faut davantage contrôler le fish farming pour éviter ses effets néfastes sur la biodiversité marine (ex : élevage intensif de saumons),zineb,,,263,0.746,0.079,0.176,Conservation of Biodiversity,5,1.0,
Il faut interdire aux chasseurs d&apos;aller dans les écoles faire de la propagande auprès des enfants et sans l&apos;accord des parents.,Déborah,,,306,0.692,0.227,0.081,Citizen Engagement and Education,3,1.0,
Il faut organiser une convention citoyenne sur la biodiversité pour proposer des mesures ambitieuses,SA,50.0,,300,0.524,0.217,0.259,Conservation of Biodiversity,5,1.0,
"Il faut protéger les forêts, restaurer les cours d’eau et installer des toitures végétalisées en milieu urbain.",Cecile,55.0,,392,0.877,0.02,0.103,Biomass and Forest Management,2,1.0,
"Il faut imposer aux banques de ne plus investir dans des activités agro-industrielles, surtout lorsqu&apos;elles bénéficient de déforestation.",Adeline,45.0,,294,0.712,0.134,0.154,Sustainable Agriculture,14,1.0,
"Il faut inciter les grandes entreprises, lors des aménagements de locaux à créer des murs végétaux et que ce soit la marque de l&apos;OFB.",Robert,77.0,75.0,298,0.568,0.175,0.257,Urban Planning and Green Spaces,16,1.0,
