cluster_id,assigned_theme,proposition,pertinente,suggested_theme
3,Protection de la biodiversité,anticiper les effets du réchauffement climatique pour cibler des actions pertinentes visant à protéger des biodiversités viables.,1,
3,Protection de la biodiversité,"faire une loi responsabilité des entreprises: s&apos;ils polluent les sols ou cours d&apos;eau, ils doivent financer les travaux de réparation",1,
3,Protection de la biodiversité,allouer directement les penalités émises contre les contrevenants environnementaux ex. EUDR aux politiques publiques environmentales,1,
3,Protection de la biodiversité,un bilan d’impact a posteriori des politiques publiques en faveur de l’environnement,1,
3,Protection de la biodiversité,que les personnes qui contrôlent soient des personnes sensibles à la biodiversité et non des pro-chasseurs,1,
3,Protection de la biodiversité,"que les décisions soient prises par des experts, et non par des associations militantes, ou le grand publique qui ignore le fond",1,
3,Protection de la biodiversité,repenser la biodiversité via un prisme kincentrique (tous les existants sur un même pied d&apos;égalité),1,
3,Protection de la biodiversité,qu&apos;il y ait un organisme indépendant qui valide ou non tout projet immobilier susceptible de détruire un espace de biodiversité.,1,
3,Protection de la biodiversité,maximiser les actions dans les Dom Tom où est concentrée la biodiversité française,1,
3,Protection de la biodiversité,soumettre toute coupe d&apos;arbre à obligation de la justifier et à autorisation par un ministère de la biodiversité,1,
4,Protection de la faune sauvage,"former les architectes au respect biodiversité et imposer sur chaque maison des nichoirs à oiseaux, abris à hérissons/chauves-souris",1,
4,Protection de la faune sauvage,mettre des filets anti oiseaux sur les pylônes de télécommunications,1,
4,Protection de la faune sauvage,lutter contre l’obsolescence programmée,0,Consommation durable
4,Protection de la faune sauvage,lancer une réelle étude permettant de definir l&apos;impact du chat domestique errant sur la biodiversité (petits reptiles & passereaux),1,
4,Protection de la faune sauvage,installer des nids dans les jardins publics pour les petits oiseaux. Surveiller et lutter contre les espèces animales invasives,1,
4,Protection de la faune sauvage,limiter les animaux domestiques en ville qui provoquent toute une industrie délétère de la viande.,1,
4,Protection de la faune sauvage,informer les gens du comment ils peuvent aider la faune en période difficile (ex eau pour les insectes l&apos;été),1,
4,Protection de la faune sauvage,"obliger les gens qui ont un chat a le garder chez eux : il y en a marre des destructions de nids, etc. :c&apos;est une plaie nationale !",1,
4,Protection de la faune sauvage,demander aux mairies de donner aux habitants un formulaire expliquant comment nourrir les oiseaux et faciliter leur vie en hiver.,1,
4,Protection de la faune sauvage,aider les propriétaires de chats a les stériliser et stériliser les chattes errantes pour la préservation des oiseaux,1,
4,Protection de la faune sauvage,"apprendre le nom des animaux de nos campagnes : oiseaux, insectes, mammifères.",1,
4,Protection de la faune sauvage,limiter drastiquement les pesticides afin de restaurer la biodiversité des sols et l&apos;empoisonnement des insectes et oiseaux.,1,
4,Protection de la faune sauvage,"des abris dans toutes les villes (oiseaux, chauve souris, insectes) afin de réguler les + intempestives naturellement (moustiques).",1,
4,Protection de la faune sauvage,"que les mairies valident et enregistrent les jardins ""refuge LPO"", afin que les propriétaires bénéficient d&apos;un rabais fiscal.",1,
4,Protection de la faune sauvage,installer des cabanes couvertes pour les animaux errants afin qu’ils puissent être en sécurité lors d’averses ou de fortes chaleurs,1,
4,Protection de la faune sauvage,"limiter la prolifération des animaux de compagnie, source de pollution et tueurs d&apos;oiseaux sauvages.",1,
4,Protection de la faune sauvage,"réapprendre le savoir-vivre ensemble (bruits/odeurs, promeneurs et chasseurs, chien/chat et petites faunes) sans culpabiliser",1,
4,Protection de la faune sauvage,"mettre des abris à disposition de la faune dans les parcs publics (chauves-souris, hérissons, oiseaux)",1,
4,Protection de la faune sauvage,"que l’État participe financièrement aux campagnes de stérilisation des chats, et à la prise en charge des animaux abandonnés.",1,
4,Protection de la faune sauvage,demander des études d&apos;impact sérieuses sur les effets de la démoustication notamment avec le bacillus thuringiensis israelensis,1,
5,Urbanisme durable et vert,interdire les centrales électriques solaires sur terrain cultivable ou friche pour reboiser au lieu de détériorer les territoires,1,
5,Urbanisme durable et vert,aider fortement à la rénovation des logements vacants et interdire les constructions neuves.,1,
5,Urbanisme durable et vert,"cesser de construire des autoroutes à deux voies inutiles, mettant en péril nos espaces verts et notre santé.",1,
5,Urbanisme durable et vert,"stopper immédiatement l&apos;artificialisation des sols. Terminés les nouveaux entrepots, magasins, lotissements : on rénove...",1,
5,Urbanisme durable et vert,"que les bâtiments neuf ou rénovés intègrent des aménagements pour accueillir la biodiversité (charpente, façades, etc.)",1,
5,Urbanisme durable et vert,utiliser les anciennes friches commerciales ou industrielles pour construire des logements au lieu de terrains agricoles ou naturels,1,
5,Urbanisme durable et vert,que les nouvelles constructions de bâtiments collectifs soient systématiquement tempérées par des toits végétalisés.,1,
5,Urbanisme durable et vert,"mieux aider, mieux promouvoir l&apos;implantation de panneaux solaires sur les toits des habitations sur notre territoire.",1,
5,Urbanisme durable et vert,protéger coûte que coûte les arbres et les intégrer dans les projets architecturaux plutôt que de les couper,1,
5,Urbanisme durable et vert,aider à la construction de bassins naturels (sans poissons).,1,
5,Urbanisme durable et vert,stopper les projets routiers anachroniques comme le BIP (boulevard intercommunal du Parisis)/ dept95 destructeur d&apos;espaces naturels,1,
5,Urbanisme durable et vert,interdire les permis de construire pour piscines individuelles: la liberté des uns ne doit pas compromettre la liberté des autres.,1,
5,Urbanisme durable et vert,mettre les panneaux photovoltaïques sur les toits et les parkings et non pas à la place des espaces naturels et forestiers.,1,
5,Urbanisme durable et vert,s&apos;opposer aux projets de photovoltaïque flottant tant que les surfaces artificialisées ne sont pas toutes équipées,1,
5,Urbanisme durable et vert,imposer l&apos;installation d&apos;une barrière verte constituée d&apos;arbres et de haies autour des nouveaux lotissements.,1,
5,Urbanisme durable et vert,restaurer les maisons/appartements vides pour éviter au maximum de construire de nouveaux bâtiments sur des zones agricoles,1,
5,Urbanisme durable et vert,"construire des bâtiments d&apos;habitation sur la forme de pyramide, en bas des commerces, services, en dessous des parkings,",1,
5,Urbanisme durable et vert,imposer la végétalisation des lieux et bâtiments (construction ou rénovation),1,
5,Urbanisme durable et vert,"arrêter d&apos;appauvrir les municipalités, les forcer de vendre des terrains communaux, construire à outrance pour préserver le budget.",0,Gestion financière municipale
5,Urbanisme durable et vert,freiner ou interdire artificialisation (bétonnage) des sols dans les pavillons individuels.,1,
6,Gestion de l'eau pluviale,obliger les futurs pavillons/immeubles à intégrer aux projets des cuves souterraines récupération eaux de pluie pour WC et arrosages,1,
6,Gestion de l'eau pluviale,systématiser la collecte de l’eau de pluie et des eaux grises réhabilitées pour tous les usages possible,1,
6,Gestion de l'eau pluviale,interdire l&apos;utilisation d&apos;eau potable pour les sanitaires,0,Gestion de l'eau potable
6,Gestion de l'eau pluviale,arrêter les rejets d’eaux grises dans les fleuves et tous les rejets divers (chimiques…) qui polluent,1,
6,Gestion de l'eau pluviale,sensibiliser sur les bienfaits (ou sur les non-risques) de la consommation d’eau du robinet,0,Gestion de l'eau potable
6,Gestion de l'eau pluviale,"responsabiliser les industriels et basculer coût et dépollution des eaux, espaces naturels sur eux au lieu des collectivités.",1,
6,Gestion de l'eau pluviale,limiter ou interdire la pêche en eaux profondes,0,Gestion des pêches marines
6,Gestion de l'eau pluviale,"un environnement urbain et développer les surfaces non bitumées, chemins etc, pour permettre aux eaux pluviales de s&apos;infiltrer",1,
6,Gestion de l'eau pluviale,contrevenir ceux qui polluent non seulement la terre mais aussi les eaux jusqu&apos;à l&apos;océan,1,
6,Gestion de l'eau pluviale,"que les services concernés effectuent un recensement sérieux et une gestion des forages ""eau"" dont certains sont à déclarer",0,Gestion des ressources en eau souterraine
6,Gestion de l'eau pluviale,arrêter la production de l’eau en bouteille car seule l’utilisation des filtres dans le foyer est nécessaire et suffisante,0,Gestion de l'eau potable
6,Gestion de l'eau pluviale,favoriser les fausses sceptiques plutôt que les réseaux d’assainissement responsables par temps d’orage des rejets dans les rivières,1,
6,Gestion de l'eau pluviale,laisser quelques fuites d’eaux dans les réseaux des tuyaux pour alimenter la végétation urbaine indispensable.,1,
6,Gestion de l'eau pluviale,économiser la moindre goutte d&apos;eau et traquer les fuites,1,
6,Gestion de l'eau pluviale,"que l’eau des WC devienne non potable, au lieu de gaspiller celle qu’on pourrait boire.",0,Gestion de l'eau potable
6,Gestion de l'eau pluviale,réguler l’accès à l’eau par les industriels / société privée,0,Gestion des ressources en eau
6,Gestion de l'eau pluviale,"restaurer le cycle de l’eau en reconstruisant les systèmes de bocages ( fraîcheurs, coupe vent et abri faune auxiliaire)",1,
6,Gestion de l'eau pluviale,interdire la remplissage des piscines privées dans les régions où les nappes phréatiques sont en diminution récurrente.,1,
6,Gestion de l'eau pluviale,favoriser les « toilettes japonaises » plutôt que l’utilisation de rouleaux de papier toilette.,0,Assainissement et hygiène
6,Gestion de l'eau pluviale,interdire la distribution de bouteilles d&apos;eau plate dans les lieux publics ayant accès à l&apos;eau potable,0,Gestion des déchets
7,Végétalisation des villes,planter des arbres sur toutes les grandes places publiques qui sont bétonnées afin d&apos;apporter ombre et fraîcheur aux piétons.,1,
7,Végétalisation des villes,créer des oasis de verdures en milieu urbain et des toitures végétalisées autonomes.,1,
7,Végétalisation des villes,obliger les constructeurs automobile à proposer des voitures consommant 1 ou 2 litres/100 Km.,0,Transport durable
7,Végétalisation des villes,"supprimer et limiter le revêtement des places publiques aux seuls chemins traversants, pour les handicapés et les poussettes.",1,
7,Végétalisation des villes,"mettre des grandes coupelles remplies d&apos;eau pour la faune, dans les jardins et parcs publics, au sol (hérissons) et dans les arbres",1,
7,Végétalisation des villes,réduire l&apos;éclairage artificiel pour préserver la faune nocturne.,0,Environnement urbain
7,Végétalisation des villes,interdire les panneaux publicitaire lumineux en extérieur et limiter la luminosité en intérieur (agressivité au niveau oculaire),0,Environnement urbain
7,Végétalisation des villes,penser aux piétons en zone rurale. Faucher quand-même un bas-côté de la route sur deux pour qu&apos;ils soient en sécurité.,0,Sécurité routière
7,Végétalisation des villes,revoir les règles lors de la création de lotissements : trop de zones bitumées pour des places de parking jamais utilisées,1,
7,Végétalisation des villes,des tunnels pour les passages d&apos;animaux en dessous des routes pour éviter d&apos;être renversés par la circulation,0,Infrastructure et transports
7,Végétalisation des villes,que toutes les villes aient l’obligation de planter un maximum de micro-forêts style Miyazaki,1,
7,Végétalisation des villes,OBLIGER les communes à installer des composteurs collectifs.,1,
7,Végétalisation des villes,"plus de nature en ville, implanter des allées d’arbres, investir les dents creuses en mini parcs plutôt que densifier les logements",1,
7,Végétalisation des villes,"permettre un droit de préemption d&apos;achat aux voisins cadastraux, avant la vente à un promoteur pour la division en lots.",0,Urbanisme et aménagement
7,Végétalisation des villes,rendre obligatoire la plantation d’arbres sur les parkings de plus de 5 places,1,
7,Végétalisation des villes,végétaliser les toits afin d&apos;accueillir la biodiversité mais aussi d&apos;économiser de l&apos;énergie,1,
7,Végétalisation des villes,réduire l&apos;éclairage public,0,Énergie et environnement
7,Végétalisation des villes,interdire le bétonnage et le pavage des villes à outrance.,1,
7,Végétalisation des villes,baisser partout la vitesse de 20km/h lors des canicules,0,Infrastructure et transports
7,Végétalisation des villes,réserver des voies de circulation uniquement vélo sur des créneaux horaires fixes et permettre ainsi de profiter de la nature !,0,Infrastructure et transports
8,Éducation à la nature,"organiser le ramassage des déchets chaque semaine via les mairies, écoles, collèges, lycées et associations.",1,
8,Éducation à la nature,"encourager les personnes qui viennent en France , et à apprendre le Français, à prendre des cours pour protéger la nature.",1,
8,Éducation à la nature,"faire plus de classes découvertes à l&apos;école, dans la forêt ou à la mer pour découvrir les écosytèmes.",1,
8,Éducation à la nature,"sensibiliser les enfants à l&apos;importance de la biodiversité, ceci dès les classes primaires",1,
8,Éducation à la nature,expliquer et impliquer les enfants dans l&apos;importance de la biodiversité. Leur fournir des compétences pratiques pour la protéger,1,
8,Éducation à la nature,éduquer les adultes : l&apos;exemplarité est la clé,1,
8,Éducation à la nature,sensibiliser les plus jeunes avec des heures réservées à l’école pour parler de la biodiversité et surtout agir !,1,
8,Éducation à la nature,éduquer nos enfants dans nos écoles dès la primaire sur l&apos;importance de nos écosystèmes,1,
8,Éducation à la nature,"enseigner le soin de la nature dans les écoles tous niveaux, une demi-journée par mois (enseignement, plantations, observations)",1,
8,Éducation à la nature,"sensibiliser dès le plus jeune âge au respect de la nature (ne pas jeter ses déchets, etc.).",1,
8,Éducation à la nature,diminuer les coûts des chasseurs et attirer plus de jeunes. Communiquer et montrer aux gens l&apos;importance et le de cette pratique.,0,Gestion de la faune
8,Éducation à la nature,créer plus d&apos;écoles alternatives qui favorisent le contact des enfants avec la nature et les animaux,1,
8,Éducation à la nature,"reconstituer le lien entre nature et humain dès l&apos;école, faire sortir les classes primaires, les faire manipuler et expérimenter.",1,
8,Éducation à la nature,"débétoniser et végétaliser les cours d’école, pour sensibiliser dès l’enfance et avoir en ville des espaces de biodiversité protégés",1,
8,Éducation à la nature,"mettre en place des cours d’écologie à l’école, dès la primaire, afin d’encrer les réflexes et bonnes pratiques dans les mentalités.",1,
8,Éducation à la nature,"apprendre aux enfants à reconnaître les plantes, les arbres, les oiseaux, etc.",1,
8,Éducation à la nature,"que, dans chaque cursus scolaire, il y ait une part importante de la compréhension de la richesse qu&apos;est la biodiversité.",1,
8,Éducation à la nature,sensibiliser les jeunes via de la plongée sous-marine pour montrer les effets de la perte de biodiversité marine,1,
8,Éducation à la nature,sensibiliser les écoliers à l&apos;environnement en organisant des opérations de nettoyage de forêts et à économiser l&apos;eau et l&apos;énergie,1,
8,Éducation à la nature,"apprendre aux enfants le rôle des vers de terre, des fourmis, etc.",1,
9,Alimentation durable et végétale,privilégier les achats &apos;seconde main&apos; et ne consommer que le nécessaire.,0,Consommation responsable
9,Alimentation durable et végétale,"interdire les pubs de conso qui prônent et alimentent l&apos;orgueil, la vanité et l&apos;individualisme des individus.",1,
9,Alimentation durable et végétale,consommer local et arrêter d&apos;acheter sur internet pour favoriser l&apos;économie locale (pas de transport),1,
9,Alimentation durable et végétale,"optimiser la consommation des plantes invasives dans la mesure du possible (renouée du Japon, l&apos;armoise de Chine etc.), du vrai bio ",1,
9,Alimentation durable et végétale,"cultiver fruits et légumes par les communes ou syndicats intercommunaux pour les cantines (scolaires, EHPAD, etc.)",1,
9,Alimentation durable et végétale,"Il faut, pour manger, privilégier la bio au conventionnel local car le mode de production a plus d&apos;impact environnemental que le transport",1,
9,Alimentation durable et végétale,"apprendre à lutter contre la production de méthane, car le méthane est 30 x pire que le CO2. ",1,
9,Alimentation durable et végétale,"mettre dans les rayons fruits/légumes/céréales des images pour savoir comment c&apos;est fait et ça pousse dans la nature(arbre,sol,tige)",1,
9,Alimentation durable et végétale,sanctionner beaucoup plus lourdement la chasse et la consommation de viande de hérisson. Et informer les gens concernés.,1,
9,Alimentation durable et végétale,"changer nos habitudes de consommation, acheter moins mais mieux. bouder les produits de piètre qualité et nocifs pour la planète",1,
9,Alimentation durable et végétale,taxer les produits alimentaires en fonction du kilomètre parcouru depuis le lieu de production jusqu&apos;au lieu de consommation.,1,
9,Alimentation durable et végétale,imposer des plats végétariens systématiquement dans toutes les cantines et restaurants,1,
9,Alimentation durable et végétale,améliorer la qualité de l&apos;eau des cours de France,0,Environnement et eau
9,Alimentation durable et végétale,"que les grandes surfaces arrêtent d’imposer des calibrages pour les fruits et légumes, moins de pertes et un cercle plus vertueux!",1,
9,Alimentation durable et végétale,"favoriser une alimentation plus végétale à l&apos;école, en entreprise, etc. Son mode de production est plus pérenne pour le Vivant.",1,
9,Alimentation durable et végétale,arrêter la consommation de certains aliments surtout la viande et nous diriger vers des régimes plus en accord avec la nature.,1,
9,Alimentation durable et végétale,garder une alimentation équilibrée. Les produits laitiers et la viande doivent être contrôlés pas presque supprimés pour notre corps,1,
9,Alimentation durable et végétale,proposer des recettes végétariennes accessibles dans les médias,1,
9,Alimentation durable et végétale,que les commerçants proposent des fruits et légumes rares ou anciens,1,
9,Alimentation durable et végétale,éduquer à la prise de recul par rapport à la publicité qui pousse à consommer plus,1,
10,Protection de la nature,développer des aires strictement protégées pour préserver les écosystèmes fragiles.,1,
10,Protection de la nature,mettre des bouées de mouillage pour les bateaux pour préserver les fonds marins.,1,
10,Protection de la nature,"en parallèle des parc naturels créer des zones et couloirs réservés à la faune, la flore sauvage et zone humide sur les communes",1,
10,Protection de la nature,"interdire le chalutage de fond, qui détruit les fonds marins et rafle tout, sans distinction d&apos;âge ou d&apos;espèce.",1,
10,Protection de la nature,"créer des zones protégées pour préserver les espèces endémiques, surtout dans les îles",1,
10,Protection de la nature,"protéger davantage les espaces naturels les plus menacés, en consacrant 10% du territoire en protection forte",1,
10,Protection de la nature,élargir le réseau d&apos;aires protégées et développer les corridors écologiques qui les relient pour favoriser les échanges génétiques.,1,
10,Protection de la nature,"protéger davantage la faune sauvage, cela est prioritaire",1,
10,Protection de la nature,laisser de vastes territoires en libre évolution et favoriser les corridors écologiques.,1,
10,Protection de la nature,convertir les zones commerciales à l&apos;entrée des agglomérations en zones de maraîchage,1,
10,Protection de la nature,reverser une partie des amendes pour évasion fiscale à la restauration des zones humides et à l&apos;agriculture biologique.,1,
10,Protection de la nature,"absolument interdire la chasse, la pêche et la sylviculture dans les parcs nationaux et les réserves nationales.",1,
10,Protection de la nature,"concevoir une approche 3D de la biodiversité (sous la terre, à la surface et dans les airs) afin de préserver tous les écosystèmes",1,
10,Protection de la nature,"aider les structures locales à protéger des espaces naturels par la maîtrise foncière et les règlements d’urbanisme (PLU, ORE, etc.)",1,
10,Protection de la nature,éliminer toutes les sources d&apos;eau stagnante et améliorer les services écosystémiques dans les parcs urbains.,1,
10,Protection de la nature,interdire de détruire les zones humides même si il y a une compensation ailleurs,1,
10,Protection de la nature,créer plus de zones de fraicheur,1,
10,Protection de la nature,augmenter les moyens financiers pour l’acquisition foncière des espaces naturels les plus précieux,1,
10,Protection de la nature,relier les parcs nationaux par des corridors de circulation protégés pour les animaux. Pourquoi pas à l&apos;échelle européenne.,1,
10,Protection de la nature,créer et financer des corridors écologiques pour relier les habitats fragmentés,1,
11,Réduction des déchets plastiques,mettre en place des unités de pyrolise dans les villes pour transformer certains plastiques directement en gaz ou en carburant,1,
11,Réduction des déchets plastiques,supprimer les rotofils qui propagent les microplastiques dans la nature,1,
11,Réduction des déchets plastiques,"interdire les entreprises à utiliser des emballages jetables, même en carton ! (Pour les déjeuners organisés par exemple.)",1,
11,Réduction des déchets plastiques,"interdire l&apos;utilisation des contenants en plastique et revenir à l&apos;utilisation du verre, qui est entièrement recyclable",1,
11,Réduction des déchets plastiques,"faire adapter les emballages aux contenus qu&apos;ils contiennent réellement, trop de gâchis et de tromperie vis à vis des consommateurs",1,
11,Réduction des déchets plastiques,interdire les crèmes solaires néfastes pour les bords de mer.,0,Protection de l'environnement marin
11,Réduction des déchets plastiques,interdire la production de matériaux non recyclables...,1,
11,Réduction des déchets plastiques,arrêter de produire du plastique qui est une calamité pour le vivant tout entier !,1,
11,Réduction des déchets plastiques,"supprimer progressivement les plastiques à usage unique, il reste encore beaucoup à faire dans le monde.",1,
11,Réduction des déchets plastiques,"créer une vraie taxe carbone: plus un produit pollue (extraction de matière première, voyages, recyclage etc.), plus il est taxé.",1,
11,Réduction des déchets plastiques,la consigne pour la distribution d&apos;eau potable mais aussi de tous types de boissons,1,
11,Réduction des déchets plastiques,"légiférer sur les emballages et surremballages, développer le vrac.",1,
11,Réduction des déchets plastiques,"réduire les emballages jetables et recyclables, informer du coût (en matières premières !) de traitement de ces déchets.",1,
11,Réduction des déchets plastiques,"arrêter de consommer des emballages en plastique (retour à la consigne, emballages réutilisables...)",1,
11,Réduction des déchets plastiques,collecter les bocaux en verre et les réutiliser plutôt que les détruire pour les re-fabriquer,1,
11,Réduction des déchets plastiques,"encourager les efforts de chacun : tri, réduction des emballages, loisirs raisonnés, boycott etc.",1,
11,Réduction des déchets plastiques,boycotter les producteurs et distributeurs de fast food et de fast fashion!,1,
11,Réduction des déchets plastiques,"arrêter de ramasser les déchets, qui est l&apos;arbre qui cache la foret mais arrêter l&apos;utilisation des plastiques  !",1,
11,Réduction des déchets plastiques,réglementer et inciter sur le modèle des consignes,1,
